,股票代码,股票名称,最新价,涨幅,3日均线,5日均线,10日均线,3日均线涨幅,5日均线涨幅,10日均线涨幅
3070,603000,人民网,23.24,9.99,3,25,40,20.98,180.0,217.05
2982,601519,大智慧,9.75,10.05,12,18,17,153.25,185.09,175.42
2196,600131,岷江水电,18.19,2.13,13,13,13,167.11,167.11,167.11
349,000859,国风塑业,8.25,10.0,3,3,17,10.89,10.89,166.99
905,002458,益生股份,42.80,4.65,3,17,19,15.12,134.65,151.76
686,002234,民和股份,27.65,0.91,3,3,33,10.82,10.82,132.35
1044,002600,领益智造,6.60,10.0,4,7,17,33.33,41.63,129.17
2909,601066,中信建投,25.75,10.0,3,19,22,16.36,120.46,125.09
2730,600776,东方通信,33.46,9.99,2,2,16,9.99,9.99,121.15
609,002157,正邦科技,14.04,8.58,2,3,25,8.58,19.49,121.1
1750,300397,天和防务,21.31,10.02,2,17,16,10.02,124.08,120.37
1445,300085,银之杰,17.56,10.03,8,18,17,79.0,130.75,117.87
3257,603383,顶点软件,71.18,6.25,9,18,18,72.14,109.97,109.97
124,000536,华映科技,4.18,6.63,3,3,16,10.0,10.0,109.0
147,000563,陕国投Ａ,5.79,3.02,3,18,17,12.43,106.79,103.16
29,000037,深南电A,10.16,3.67,15,15,14,101.59,101.59,98.44
1956,300612,宣亚国际,28.84,3.63,12,17,14,91.76,105.12,97.81
2581,600610,*ST毅达,3.80,4.97,18,17,16,114.69,104.3,94.87
1394,300033,同花顺,82.97,0.53,3,19,19,2.43,93.95,93.95
2576,600604,市北高新,14.30,10.0,2,17,14,10.0,107.85,91.69
2447,600446,金证股份,21.89,1.48,3,3,18,4.74,4.74,90.51
2288,600238,*ST椰岛,8.98,5.03,4,2,43,7.8,5.03,90.25
2996,601608,中信重工,5.21,9.92,8,19,18,73.67,92.25,90.15
2765,600816,安信信托,8.01,2.96,2,1,16,2.96,0.0,88.47
267,000727,华东科技,2.92,10.19,3,3,17,21.16,21.16,87.18
1185,002750,龙津药业,10.60,9.96,18,17,16,90.31,85.96,83.71
2963,601319,中国人保,10.60,9.96,3,12,12,21.0,80.58,80.58
3031,601860,紫金银行,9.75,3.17,8,8,15,63.04,63.04,80.22
1707,300352,北信源,5.85,6.75,4,8,41,10.38,24.2,77.81
749,002299,圣农发展,29.06,0.21,3,4,45,6.76,10.37,77.52
1181,002746,仙坛股份,24.58,0.04,3,6,38,5.27,2.85,75.45
2050,300710,万隆光电,36.44,9.99,8,17,15,63.04,80.84,74.35
3502,603986,兆易创新,106.38,10.0,2,9,28,10.0,37.96,73.48
472,002017,东信和平,17.04,10.01,3,11,11,21.02,72.47,72.47
1981,300638,广和通,47.88,2.97,9,18,17,54.95,78.86,71.92
1716,300362,天翔环境,6.99,4.8,3,4,14,15.35,26.86,71.32
2645,600685,中船防务,17.11,8.57,12,18,17,61.11,77.86,71.27
2156,600086,东方金钰,5.96,9.96,3,2,16,20.89,9.96,71.26
971,002526,山东矿机,3.39,9.35,3,18,17,20.21,76.56,70.35
2915,601099,太平洋,4.43,0.45,11,18,17,53.29,73.05,69.73
3041,601890,亚星锚链,6.42,9.93,7,17,16,48.61,71.2,69.39
832,002384,东山精密,17.63,9.91,2,1,20,9.91,0.0,68.71
3309,603583,捷昌驱动,70.35,-0.3,-1,5,33,0.0,6.8,68.22
2162,600094,大名城,6.07,9.96,18,18,16,70.03,70.03,67.22
2501,600518,康美药业,11.15,-0.62,-1,7,17,0.0,12.97,66.67
357,000876,新 希 望,12.87,2.88,3,3,28,13.19,13.19,66.06
2366,600331,宏达股份,3.95,10.03,2,17,14,10.03,74.78,65.97
52,000070,特发信息,16.84,3.44,2,2,17,3.44,3.44,65.75
3459,603888,新华网,22.18,-1.2,3,2,24,2.07,-1.2,65.52
1420,300059,东方财富,21.28,1.58,4,12,19,8.57,47.06,65.35
1777,300424,航新科技,23.62,4.98,5,18,17,22.77,69.2,65.29
1378,300016,北陆药业,10.89,10.0,8,8,17,50.83,50.83,65.0
1889,300538,同益股份,33.12,10.0,4,8,16,33.12,53.33,64.94
1753,300400,劲拓股份,23.50,9.81,4,4,17,22.27,22.27,64.34
2544,600570,恒生电子,87.62,-0.78,-1,12,38,0.0,23.39,64.3
50,000068,华控赛格,6.91,1.32,2,2,17,1.32,1.32,64.13
2583,600613,神奇制药,8.27,9.97,4,17,17,32.96,63.76,63.76
1050,002607,亚夏汽车,12.33,0.24,8,8,30,21.96,21.96,63.75
1379,300017,网宿科技,12.99,9.99,3,3,17,20.95,20.95,63.4
2026,300684,中石科技,43.30,1.64,1,1,26,0.0,0.0,63.03
903,002456,欧菲科技,14.99,5.56,2,2,27,5.56,5.56,62.76
2290,600240,华业资本,3.73,5.67,3,3,14,15.84,15.84,62.17
1371,300008,天海防务,4.18,10.0,7,16,15,33.12,68.55,62.02
265,000725,京东方Ａ,4.42,2.31,3,3,17,3.27,3.27,61.31
2616,600651,飞乐音响,4.79,10.11,4,16,13,33.43,65.17,61.28
2142,600072,中船科技,11.85,10.03,12,18,18,49.81,59.92,59.92
1109,002668,奥马电器,6.25,5.4,3,3,14,15.96,15.96,59.85
871,002423,中原特钢,13.22,-1.93,-1,17,15,0.0,62.61,59.66
2545,600571,信雅达,11.13,1.27,2,17,16,1.27,59.23,59.0
2401,600375,华菱星马,6.08,9.95,4,17,16,33.04,62.57,58.75
2759,600809,山西汾酒,55.30,1.94,5,5,35,14.47,14.47,57.95
1703,300348,长亮科技,26.90,-0.37,3,3,17,2.59,2.59,57.77
1362,002945,华林证券,15.16,0.0,3,8,20,3.84,32.06,57.59
157,000576,广东甘化,10.44,10.01,7,7,21,37.55,37.55,57.47
49,000066,中国长城,7.78,9.73,3,2,38,11.3,9.73,57.17
1111,002670,国盛金控,14.74,10.0,3,3,17,21.02,21.02,56.98
2507,600525,长园集团,7.08,0.28,2,18,17,0.28,62.76,56.98
898,002450,康得新,7.22,4.94,7,16,15,33.95,64.84,56.96
924,002477,雏鹰农牧,2.54,1.6,2,3,17,1.6,4.1,56.79
627,002175,东方网络,4.79,10.11,3,8,15,21.27,43.41,56.54
1568,300211,亿通科技,7.78,10.04,2,1,17,10.04,0.0,56.22
1825,300472,新元科技,21.59,9.65,5,18,17,22.32,60.76,55.88
2001,300659,中孚信息,30.64,2.13,4,17,16,9.43,57.45,55.69
1510,300152,科融环境,2.97,5.32,7,18,16,27.47,65.0,55.5
576,002123,梦网集团,12.47,0.56,2,8,18,0.56,42.19,55.49
342,000839,中信国安,5.24,10.08,2,2,18,10.08,10.08,55.49
1474,300115,长盈精密,12.19,5.54,1,1,18,0.0,0.0,55.48
47,000063,中兴通讯,31.65,4.42,4,2,18,6.21,4.42,55.07
111,000518,四环生物,4.91,-0.61,2,7,16,-0.61,13.66,54.89
2438,600425,青松建化,4.92,10.07,7,7,17,39.77,39.77,54.72
877,002429,兆驰股份,3.20,9.97,3,7,17,14.7,13.88,54.59
782,002333,罗普斯金,7.93,9.99,4,8,17,18.01,36.72,54.58
3126,603081,大丰实业,17.18,6.38,2,2,16,6.38,6.38,54.5
922,002475,立讯精密,21.46,2.43,2,1,36,2.43,0.0,54.28
1635,300279,和晶科技,7.03,10.02,3,3,16,21.0,21.0,54.17
1299,002876,三利谱,47.65,-0.6,-2,4,28,-0.6,-0.36,54.01
3264,603396,金辰股份,42.93,1.49,2,2,17,1.49,1.49,53.93
2737,600783,鲁信创投,25.20,7.42,2,1,15,7.42,0.0,53.85
1905,300555,路通视信,12.66,6.57,3,1,16,7.84,0.0,53.83
2517,600536,中国软件,33.99,7.63,2,2,17,7.63,7.63,53.8
1365,300002,神州泰岳,5.07,9.98,2,18,16,9.98,60.95,53.64
975,002530,金财互联,9.49,9.97,4,18,17,11.38,57.64,53.56
646,002194,*ST凡谷,11.91,5.03,4,4,19,15.74,15.74,53.48
548,002095,生 意 宝,29.18,0.86,1,18,17,0.0,57.82,53.26
2513,600531,豫光金铅,5.67,1.43,18,18,17,56.63,56.63,53.24
1776,300423,鲁亿通,28.37,1.5,9,18,18,22.5,53.1,53.1
121,000531,穗恒运Ａ,7.98,5.42,3,2,16,5.7,5.42,52.29
1732,300379,东方通,22.99,10.0,2,7,18,10.0,14.95,51.95
2063,300725,药石科技,82.24,-0.8,-1,31,29,0.0,56.92,51.68
2729,600775,南京熊猫,12.33,9.99,2,2,17,9.99,9.99,51.47
964,002518,科士达,12.14,8.01,2,2,18,8.01,8.01,51.37
3279,603501,韦尔股份,46.75,9.95,3,3,17,12.76,12.76,51.29
1554,300197,铁汉生态,5.18,6.37,8,8,17,34.9,34.9,51.02
1533,300175,朗源股份,6.22,10.09,4,8,17,33.19,39.78,50.97
2592,600622,光大嘉宝,8.93,3.12,1,1,31,0.0,0.0,50.84
2948,601216,君正集团,4.07,-0.49,12,18,17,41.32,54.17,50.74
2931,601155,新城控股,36.40,5.14,8,12,40,15.59,18.34,50.66
1996,300654,世纪天鸿,21.38,1.33,4,2,32,1.81,1.33,50.25
3038,601881,中国银河,11.71,-1.26,-1,3,18,0.0,-0.17,50.13
434,000977,浪潮信息,25.09,5.82,2,2,24,5.82,5.82,50.06
