,股票代码,股票名称,最新价,涨幅,3日均线,5日均线,10日均线,3日均线涨幅,5日均线涨幅,10日均线涨幅
2984,603000,人民网,28.12,10.02,5,27,42,46.38,238.8,283.63
2901,601519,大智慧,11.80,9.97,14,20,19,206.49,245.03,233.33
341,000859,国风塑业,9.00,-0.88,5,5,19,20.97,20.97,191.26
2145,600131,岷江水电,19.00,0.0,15,15,15,179.0,179.0,179.0
1020,002600,领益智造,7.99,10.06,6,9,19,61.41,71.46,177.43
2832,601066,中信建投,31.16,9.99,5,21,24,40.8,166.78,172.38
2657,600776,东方通信,40.49,10.0,4,4,18,33.1,33.1,167.61
1412,300085,银之杰,21.25,9.99,10,20,19,116.62,179.24,163.65
671,002234,民和股份,30.68,10.0,5,5,35,22.97,22.97,157.82
3170,603383,顶点软件,86.13,10.0,11,20,20,108.3,154.07,154.07
594,002157,正邦科技,15.99,3.56,4,5,27,23.67,36.09,151.81
886,002458,益生股份,41.26,-0.1,-2,19,21,-0.1,126.21,142.71
1710,300397,天和防务,22.68,-0.48,4,19,18,17.09,138.49,134.54
2512,600604,市北高新,17.30,9.98,4,19,16,33.08,151.45,131.9
2914,601608,中信重工,6.30,9.95,10,21,20,110.0,132.47,129.93
2386,600446,金证股份,26.41,9.68,5,5,20,26.36,26.36,129.85
261,000727,华东科技,3.53,9.97,5,5,19,46.47,46.47,126.28
123,000536,华映科技,4.46,0.68,5,5,18,17.37,17.37,123.0
1161,002750,龙津药业,12.83,10.03,20,19,18,130.34,125.09,122.36
2883,601319,中国人保,12.83,10.03,5,14,14,46.46,118.57,118.57
2947,601860,紫金银行,11.80,9.97,10,10,17,97.32,97.32,118.11
2517,600610,*ST毅达,4.19,5.01,20,19,18,136.72,125.27,114.87
145,000563,陕国投Ａ,6.02,-3.37,5,20,19,16.89,115.0,111.23
462,002017,东信和平,20.61,9.98,5,13,13,46.38,108.6,108.6
2692,600816,安信信托,8.85,0.45,4,3,18,13.75,10.49,108.24
2956,601890,亚星锚链,7.77,10.06,9,19,18,79.86,107.2,105.01
2105,600086,东方金钰,7.10,8.23,5,4,18,44.02,31.0,104.02
1363,300033,同花顺,86.22,-1.46,5,21,21,6.44,101.54,101.54
1845,300538,同益股份,40.07,9.99,6,10,18,61.05,85.51,99.55
2519,600613,神奇制药,10.01,10.0,6,19,19,60.93,98.22,98.22
1348,300017,网宿科技,15.72,10.01,5,5,19,46.37,46.37,97.74
1668,300352,北信源,6.46,10.05,6,10,43,21.89,37.15,96.35
1341,300008,天海防务,5.06,10.0,9,18,17,61.15,104.03,96.12
2003,300710,万隆光电,40.83,1.87,10,19,17,82.68,102.63,95.36
2552,600651,飞乐音响,5.80,10.06,6,18,15,61.56,100.0,95.29
1911,300612,宣亚国际,28.32,-5.44,-1,19,16,0.0,101.42,94.24
1087,002668,奥马电器,7.57,10.03,5,5,16,40.45,40.45,93.61
29,000037,深南电A,9.85,-0.81,-2,17,16,-0.81,95.44,92.38
2233,600238,*ST椰岛,9.08,-0.55,6,4,45,9.0,6.2,92.37
2342,600375,华菱星马,7.36,10.01,6,19,18,61.05,96.79,92.17
612,002175,东方网络,5.80,10.06,5,10,17,46.84,73.65,89.54
1599,300279,和晶科技,8.50,9.96,5,5,18,46.3,46.3,86.4
1332,002945,华林证券,17.70,6.12,5,10,22,21.23,54.18,83.99
1693,300379,东方通,27.82,10.0,4,9,20,33.11,39.1,83.87
766,002333,罗普斯金,9.40,7.8,6,10,19,39.88,62.07,83.24
2454,600536,中国软件,40.48,10.0,4,4,19,28.18,28.18,83.17
1499,300175,朗源股份,7.52,9.94,6,10,19,61.03,68.99,82.52
2838,601099,太平洋,4.74,0.64,13,20,19,64.01,85.16,81.61
3366,603888,新华网,24.06,-0.7,5,4,26,10.72,7.17,79.55
2843,601108,财通证券,13.63,10.01,5,4,19,28.83,26.67,78.87
1685,300370,安控科技,4.76,9.93,9,9,16,53.05,53.05,78.28
2110,600093,易见股份,14.69,10.04,4,4,19,33.06,33.06,77.42
535,002095,生 意 宝,33.78,5.23,3,20,19,15.76,82.69,77.42
1934,300638,广和通,49.40,-3.67,-1,20,19,0.0,84.53,77.38
2379,600425,青松建化,5.64,9.94,9,9,19,60.23,60.23,77.36
421,000971,高升控股,5.51,9.98,4,20,17,33.09,91.32,76.6
1451,300125,易世达,24.71,10.02,6,19,16,50.95,78.03,75.75
2977,601990,南京证券,16.05,6.64,4,20,18,17.75,79.13,75.41
902,002477,雏鹰农牧,2.84,10.08,4,5,19,13.6,16.39,75.31
734,002299,圣农发展,28.65,-0.14,-2,6,47,-0.14,8.81,75.02
426,000977,浪潮信息,29.18,5.72,4,4,26,23.07,23.07,74.52
1441,300115,长盈精密,13.63,10.01,3,3,20,11.81,11.81,73.85
1494,300170,汉得信息,18.47,10.01,5,4,20,46.47,33.17,73.75
334,000839,中信国安,5.85,3.36,4,4,20,22.9,22.9,73.59
2308,600331,宏达股份,4.13,-0.72,4,19,16,15.04,82.74,73.53
2481,600571,信雅达,12.14,2.45,4,19,18,10.46,73.68,73.43
2641,600756,浪潮软件,28.08,9.99,4,4,21,33.08,33.08,72.8
2111,600094,大名城,6.27,-2.79,20,20,18,75.63,75.63,72.73
1157,002746,仙坛股份,24.16,0.08,-2,8,40,0.08,1.09,72.45
2480,600570,恒生电子,91.90,2.45,2,14,40,2.45,29.42,72.32
52,000070,特发信息,17.48,-0.06,4,4,19,7.37,7.37,72.05
50,000068,华控赛格,7.24,5.08,4,4,19,6.16,6.16,71.97
1664,300348,长亮科技,29.26,8.49,5,5,19,11.59,11.59,71.61
948,002526,山东矿机,3.41,0.29,5,20,19,20.92,77.6,71.36
2082,600061,国投资本,15.73,5.71,4,4,20,16.09,16.09,71.35
913,002488,金固股份,11.46,9.98,4,19,18,33.1,75.77,71.3
2235,600240,华业资本,3.93,2.08,5,5,16,22.05,22.05,70.87
1677,300362,天翔环境,6.96,-4.13,-1,6,16,0.0,26.32,70.59
3407,603986,兆易创新,104.50,-2.29,-1,11,30,0.0,35.52,70.42
2575,600682,南京新百,15.33,6.75,6,22,20,34.59,73.61,70.33
2273,600288,大恒科技,12.21,10.0,6,4,19,46.05,33.15,70.29
248,000711,京蓝科技,8.80,10.0,4,4,15,33.13,33.13,70.21
2578,600685,中船防务,17.00,-3.3,-1,20,19,0.0,76.72,70.17
2856,601162,天风证券,12.43,10.0,4,4,19,22.46,22.46,69.81
2714,600839,四川长虹,4.21,9.92,10,10,19,59.47,59.47,69.76
1335,300002,神州泰岳,5.58,9.63,4,20,18,21.04,77.14,69.09
2482,600572,康恩贝,9.96,10.06,6,14,19,21.91,62.75,68.81
558,002118,紫鑫药业,8.60,9.69,6,6,18,27.79,27.79,68.63
2439,600518,康美药业,11.26,-2.51,-1,9,19,0.0,14.08,68.31
935,002512,达华智能,7.03,3.84,6,10,17,32.39,45.25,68.18
2450,600531,豫光金铅,6.22,4.54,20,20,19,71.82,71.82,68.11
3161,603363,傲农生物,14.00,4.24,4,4,19,17.06,17.06,68.07
2870,601212,白银有色,5.28,10.0,5,5,17,46.67,46.67,67.62
3120,603289,泰瑞机器,13.39,10.02,10,10,17,59.22,59.22,67.58
1373,300043,星辉娱乐,5.67,10.1,10,19,19,48.04,67.26,67.26
1598,300278,华昌达,9.81,9.98,10,9,8,74.25,69.43,66.84
1179,002771,真视通,18.96,2.54,6,10,18,38.39,47.09,66.61
952,002530,金财互联,10.29,6.19,6,20,19,20.77,70.93,66.5
2564,600666,奥瑞德,4.52,4.87,5,4,18,20.53,18.95,66.18
942,002519,银河电子,5.90,10.07,4,19,17,33.18,76.65,65.73
1389,300059,东方财富,21.33,-4.01,-1,-1,21,0.0,0.0,65.73
878,002450,康得新,7.61,0.4,9,18,17,41.19,73.74,65.43
1757,300446,乐凯新材,24.00,9.99,3,20,19,20.97,69.49,65.29
1683,300368,汇金股份,10.03,2.14,4,19,17,14.5,69.71,64.97
1089,002670,国盛金控,15.46,-0.9,5,5,19,26.93,26.93,64.64
349,000876,新 希 望,12.72,-1.93,-1,5,30,0.0,11.87,64.13
580,002143,印纪传媒,4.71,10.05,4,4,17,32.3,32.3,64.11
1442,300116,坚瑞沃能,2.44,9.91,2,2,18,9.91,9.91,63.76
1327,002939,长城证券,17.44,10.03,4,3,17,23.51,21.03,63.14
2735,600864,哈投股份,7.29,9.95,5,4,18,23.98,21.7,63.09
3037,603081,大丰实业,18.12,-1.74,4,4,18,12.2,12.2,62.95
1476,300152,科融环境,3.11,1.3,9,20,18,33.48,72.78,62.83
1550,300227,光韵达,15.84,6.45,7,19,19,30.37,62.8,62.8
790,002359,北讯集团,12.60,10.04,4,4,19,29.1,29.1,62.79
1985,300691,联合光电,37.27,10.01,4,4,19,33.11,33.11,62.61
1954,300659,中孚信息,32.00,10.0,1,1,18,0.0,0.0,62.6
2444,600525,长园集团,7.32,-1.35,4,20,19,3.68,68.28,62.31
1149,002736,国信证券,13.85,10.01,5,5,20,16.78,16.78,62.18
2953,601881,中国银河,12.65,1.44,2,5,20,1.44,7.84,62.18
1734,300423,鲁亿通,30.05,5.81,11,20,20,29.75,62.17,62.17
1347,300016,北陆药业,10.70,-3.43,-1,10,19,0.0,48.2,62.12
2154,600146,商赢环球,9.15,6.89,5,5,17,16.86,16.86,61.66
1417,300090,盛运环保,3.07,8.48,4,9,17,20.87,36.44,61.58
309,000806,银河生物,5.73,9.98,6,6,17,26.49,26.49,61.41
1655,300339,润和软件,14.75,9.99,1,10,19,0.0,44.61,61.38
675,002238,天威视讯,10.23,10.0,5,4,19,33.9,21.79,61.36
621,002184,海得控制,14.77,9.98,6,4,17,37.4,33.06,61.24
1712,300399,京天利,14.15,10.03,5,4,19,26.11,24.23,61.16
1861,300555,路通视信,13.26,4.91,5,3,18,12.95,4.74,61.12
1076,002657,中科金财,20.38,1.85,5,4,19,16.86,14.49,61.11
3011,603032,德新交运,46.39,10.01,6,6,6,61.08,61.08,61.08
848,002420,毅昌股份,5.41,9.96,10,19,17,55.91,72.29,61.01
154,000576,广东甘化,10.65,-1.57,9,9,23,40.32,40.32,60.63
2638,600751,海航科技,4.38,3.55,4,4,17,18.7,18.7,60.44
814,002384,东山精密,16.76,-2.56,-1,3,22,0.0,-4.93,60.38
851,002423,中原特钢,13.27,-2.14,-1,-1,17,0.0,0.0,60.27
2778,600958,东方证券,13.58,3.35,2,2,20,3.35,3.35,60.14
2527,600621,华鑫股份,14.12,1.95,4,5,19,9.88,12.06,60.09
884,002456,欧菲科技,14.74,0.27,-1,4,29,0.0,3.8,60.04
2142,600128,弘业股份,11.33,10.0,1,19,16,0.0,65.89,60.03
1775,300465,高伟达,9.41,3.63,5,19,19,15.04,60.03,60.03
2091,600072,中船科技,11.85,10.03,12,18,18,49.81,59.92,59.92
2739,600868,梅雁吉祥,4.70,10.07,10,9,19,47.34,41.57,59.86
631,002194,*ST凡谷,12.40,-0.88,6,6,21,20.51,20.51,59.79
2951,601878,浙商证券,12.83,10.03,5,5,19,22.78,22.78,59.78
2833,601068,中铝国际,8.58,10.0,5,9,18,26.55,45.18,59.48
2656,600775,南京熊猫,12.98,-0.54,4,4,19,15.79,15.79,59.46
2063,600030,中信证券,26.76,0.22,5,5,36,9.4,9.4,59.29
49,000066,中国长城,7.88,2.47,5,4,40,12.73,11.14,59.19
1782,300472,新元科技,21.95,3.73,7,20,19,24.36,63.44,58.48
857,002429,兆驰股份,3.28,-0.61,5,9,19,17.56,16.73,58.45
569,002131,利欧股份,2.28,10.14,4,19,18,23.24,62.86,58.33
563,002123,梦网集团,12.69,-5.01,-1,10,20,0.0,44.7,58.23
1779,300469,信息发展,28.38,10.0,6,20,19,34.12,62.54,58.02
2445,600526,菲达环保,6.21,6.15,10,19,16,37.09,70.14,58.02
188,000622,恒立实业,8.91,10.0,4,4,17,22.22,22.22,57.98
300,000793,华闻传媒,4.65,7.89,4,19,18,18.32,60.34,57.63
2895,601377,兴业证券,8.07,9.8,2,4,19,9.8,14.31,57.62
516,002075,沙钢股份,11.80,5.55,5,20,19,20.04,63.89,57.54
108,000518,四环生物,4.99,-0.8,4,9,18,1.01,15.51,57.41
2246,600255,梦舟股份,2.99,4.18,3,19,17,14.56,61.62,57.37
1571,300249,依米康,9.42,10.05,4,4,21,33.24,33.24,57.26
337,000851,高鸿股份,7.94,9.97,5,5,18,33.0,33.0,56.92
119,000531,穗恒运Ａ,8.22,4.18,5,4,18,8.87,8.59,56.87
2537,600635,大众公用,7.15,1.42,4,4,17,16.26,16.26,56.8
1482,300158,振东制药,5.86,6.74,1,20,19,0.0,60.11,56.68
